WSI_Name,Class,Area_µm2,Perimeter_µm
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,190094.6212,3098.239258
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,4982.230026,316.5210557
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,20749.09564,936.6542988
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,64382.45607,1659.369874
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,129830.2152,2538.595052
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,96832.39766,2858.414746
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,61026.81544,2916.395499
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,4489.697336,418.2211286
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,127008.5265,1883.915025
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,24608.27163,744.8497356
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Non-tumor,1160768.653,5337.759357
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,8137.495372,382.0482295
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,27221.1637,945.6101268
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,27346.79866,809.4230424
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,86485.63168,2575.514512
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,17520.22487,771.564287
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Non-tumor,364115.0945,3146.173431
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,46961.24422,833.027209
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,3114.258596,386.8730238
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,42882.33708,1055.031499
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,5936.830439,526.9868761
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,76752.92131,3028.481972
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Tumor,4977.240163,414.8970555
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Non-tumor,6924218.381,9330.803337
