WSI_Name,Class,Total_Area_region,Total_Perimeter_region,Total_Area_WSI,Total_Perimeter_WSI,Region_area_%_of_tissue,Region_perimeter_%_of_tissue
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Malignant,1405511.1249154,36425.2733832,2261489622.1812,931825.195,0.0621,3.909
Basal_TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,Non-Malignant,29107464.5408,46649.643116,2261489622.1812,931825.195,1.2871,5.0063
Basal_TCGA-B6-A0IQ-01Z-00-DX1.662EA039-825E-41FF-91D6-021EB0E099BD,Malignant,15492543.7149,55253.576327,315193476.4748,100688.9225,4.9152,54.8755
Basal_TCGA-B6-A0IQ-01Z-00-DX1.662EA039-825E-41FF-91D6-021EB0E099BD,Non-Malignant,4975208.6497,28793.976378,315193476.4748,100688.9225,1.5785,28.597
Basal_TCGA-B6-A0RE-01Z-00-DX1.8933BDB4-EF8D-41FA-9A50-05BB3AB976E5,Malignant,5265026.383593,50757.612821,2333254018.5924,1300371.3639,0.2257,3.9033
Basal_TCGA-B6-A0RE-01Z-00-DX1.8933BDB4-EF8D-41FA-9A50-05BB3AB976E5,Non-Malignant,4941957.07102,24066.3273491,2333254018.5924,1300371.3639,0.2118,1.8507
Basal_TCGA-B6-A0RT-01Z-00-DX1.6C2BA663-D61B-404B-B62C-B81747B6A3AC,Malignant,5594020.43462,48082.6769466,2788358319.6742,1155810.7933,0.2006,4.1601
Basal_TCGA-B6-A0RT-01Z-00-DX1.6C2BA663-D61B-404B-B62C-B81747B6A3AC,Non-Malignant,7110014.2885,24314.078655,2788358319.6742,1155810.7933,0.255,2.1036
Basal_TCGA-B6-A0RU-01Z-00-DX1.4977531C-6003-4DA6-9925-30E2DA62C076,Malignant,8032222.5402,53564.78248,3721032279.0075,1565873.2117,0.2159,3.4208
Basal_TCGA-B6-A0RU-01Z-00-DX1.4977531C-6003-4DA6-9925-30E2DA62C076,Non-Malignant,16809570.4408,60323.576996,3721032279.0075,1565873.2117,0.4517,3.8524
Basal_TCGA-B6-A1KF-01Z-00-DX1.2E08E830-4216-4CD0-9646-1F489300E11D,Malignant,9379538.5956,20561.804313,2682400087.4763,3567782.1088,0.3497,0.5763
